127.0.0.1, 2017-02-26 18:27:05, GET, /, HTTP/1.1, 303, 0.002925
127.0.0.1, 2017-02-26 18:27:05, GET, /welcome/default/index, HTTP/1.1, 500, 0.138293
127.0.0.1, 2017-02-26 18:27:05, GET, /favicon.ico, HTTP/1.1, 400, 0.000313
127.0.0.1, 2017-02-26 18:27:08, GET, /admin/default/ticket/welcome/127.0.0.1.2017-02-26.18-27-05.b90ad73d-b7f4-4bd0-8824-81b8b1407c68, HTTP/1.1, 303, 0.735348
127.0.0.1, 2017-02-26 18:27:08, GET, /admin/default/index, HTTP/1.1, 200, 0.110243
127.0.0.1, 2017-02-26 18:27:08, GET, /admin/static/_2.14.6/js/jquery.js, HTTP/1.1, 200, 0.000493
127.0.0.1, 2017-02-26 18:27:08, GET, /admin/static/_2.14.6/css/calendar.css, HTTP/1.1, 200, 0.000448
127.0.0.1, 2017-02-26 18:27:08, GET, /admin/static/_2.14.6/js/calendar.js, HTTP/1.1, 200, 0.000604
127.0.0.1, 2017-02-26 18:27:08, GET, /admin/static/_2.14.6/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000423
127.0.0.1, 2017-02-26 18:27:08, GET, /admin/static/_2.14.6/js/web2py.js, HTTP/1.1, 200, 0.001866
127.0.0.1, 2017-02-26 18:27:08, GET, /admin/static/_2.14.6/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.004583
127.0.0.1, 2017-02-26 18:27:08, GET, /admin/static/_2.14.6/css/bootstrap.min.css, HTTP/1.1, 200, 0.004798
127.0.0.1, 2017-02-26 18:27:08, GET, /admin/static/_2.14.6/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.001199
127.0.0.1, 2017-02-26 18:27:08, GET, /admin/static/_2.14.6/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.001341
127.0.0.1, 2017-02-26 18:27:08, GET, /admin/static/_2.14.6/plugin_multiselect/start.js, HTTP/1.1, 200, 0.003524
127.0.0.1, 2017-02-26 18:27:08, GET, /admin/static/_2.14.6/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.004222
127.0.0.1, 2017-02-26 18:27:08, GET, /admin/static/_2.14.6/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.005380
127.0.0.1, 2017-02-26 18:27:08, GET, /admin/static/_2.14.6/js/bootstrap.min.js, HTTP/1.1, 200, 0.004803
127.0.0.1, 2017-02-26 18:27:08, GET, /admin/static/_2.14.6/images/questions.png, HTTP/1.1, 200, 0.000640
127.0.0.1, 2017-02-26 18:27:08, GET, /favicon.ico, HTTP/1.1, 400, 0.000284
127.0.0.1, 2017-02-26 18:27:12, POST, /admin/default/index, HTTP/1.1, 200, 1.036322
127.0.0.1, 2017-02-26 18:27:12, GET, /favicon.ico, HTTP/1.1, 400, 0.000273
127.0.0.1, 2017-02-26 18:27:16, POST, /admin/default/index, HTTP/1.1, 303, 0.025959
127.0.0.1, 2017-02-26 18:27:16, GET, /admin/default/ticket/welcome/127.0.0.1.2017-02-26.18-27-05.b90ad73d-b7f4-4bd0-8824-81b8b1407c68, HTTP/1.1, 200, 0.107718
127.0.0.1, 2017-02-26 18:27:16, GET, /admin/static/_2.14.6/images/help.png, HTTP/1.1, 200, 0.000551
127.0.0.1, 2017-02-26 18:27:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000278
127.0.0.1, 2017-02-26 18:29:33, GET, /, HTTP/1.1, 303, 0.023993
127.0.0.1, 2017-02-26 18:29:33, GET, /welcome/default/index, HTTP/1.1, 500, 0.098890
127.0.0.1, 2017-02-26 18:29:34, GET, /favicon.ico, HTTP/1.1, 400, 0.000250
127.0.0.1, 2017-02-26 18:29:47, GET, /admin/default/ticket/welcome/127.0.0.1.2017-02-26.18-29-33.65380753-e31f-40bb-95b4-5f4e04a956ad, HTTP/1.1, 200, 0.332412
127.0.0.1, 2017-02-26 18:29:47, GET, /favicon.ico, HTTP/1.1, 400, 0.000285
127.0.0.1, 2017-02-26 18:29:52, GET, /admin/default/index, HTTP/1.1, 303, 0.004089
127.0.0.1, 2017-02-26 18:29:52, GET, /admin/default/site, HTTP/1.1, 200, 0.047315
127.0.0.1, 2017-02-26 18:29:53, GET, /admin/static/_2.14.6/images/folder_locked.png, HTTP/1.1, 200, 0.000566
127.0.0.1, 2017-02-26 18:29:53, GET, /admin/static/_2.14.6/images/folder.png, HTTP/1.1, 200, 0.000378
127.0.0.1, 2017-02-26 18:29:53, GET, /admin/static/_2.14.6/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000437
127.0.0.1, 2017-02-26 18:29:53, GET, /favicon.ico, HTTP/1.1, 400, 0.000178
127.0.0.1, 2017-02-26 18:29:53, POST, /admin/default/check_version, HTTP/1.1, 200, 0.748501
127.0.0.1, 2017-02-26 18:30:17, POST, /admin/default/site, HTTP/1.1, 303, 0.197099
127.0.0.1, 2017-02-26 18:30:17, GET, /admin/default/site, HTTP/1.1, 200, 0.051517
127.0.0.1, 2017-02-26 18:30:19, GET, /auth/default/index, HTTP/1.1, 200, 0.059331
127.0.0.1, 2017-02-26 18:30:20, GET, /favicon.ico, HTTP/1.1, 400, 0.000184
127.0.0.1, 2017-02-26 18:40:35, GET, /auth/default/user/login, HTTP/1.1, 200, 0.045814
127.0.0.1, 2017-02-26 18:40:35, GET, /auth/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000742
127.0.0.1, 2017-02-26 18:40:35, GET, /auth/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.002185
127.0.0.1, 2017-02-26 18:40:35, GET, /auth/static/js/jquery.js, HTTP/1.1, 200, 0.001630
127.0.0.1, 2017-02-26 18:40:35, GET, /auth/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000977
127.0.0.1, 2017-02-26 18:40:35, GET, /auth/static/js/calendar.js, HTTP/1.1, 200, 0.000624
127.0.0.1, 2017-02-26 18:40:35, GET, /auth/static/css/calendar.css, HTTP/1.1, 200, 0.001809
127.0.0.1, 2017-02-26 18:40:35, GET, /auth/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000495
127.0.0.1, 2017-02-26 18:40:35, GET, /auth/static/js/web2py.js, HTTP/1.1, 200, 0.001442
127.0.0.1, 2017-02-26 18:40:35, GET, /auth/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.001108
127.0.0.1, 2017-02-26 18:40:35, GET, /auth/static/js/share.js, HTTP/1.1, 200, 0.000526
127.0.0.1, 2017-02-26 18:40:35, GET, /auth/static/images/twitter.png, HTTP/1.1, 200, 0.000609
127.0.0.1, 2017-02-26 18:40:35, GET, /auth/static/images/gplus-32.png, HTTP/1.1, 200, 0.001094
127.0.0.1, 2017-02-26 18:40:35, GET, /auth/static/images/facebook.png, HTTP/1.1, 200, 0.000883
127.0.0.1, 2017-02-26 18:40:36, GET, /auth/static/images/favicon.ico, HTTP/1.1, 200, 0.000543
127.0.0.1, 2017-02-26 18:40:39, GET, /auth/default/user/register, HTTP/1.1, 200, 0.019419
127.0.0.1, 2017-02-26 18:40:47, POST, /auth/default/user/register, HTTP/1.1, 303, 0.028969
127.0.0.1, 2017-02-26 18:40:47, GET, /auth/default/index, HTTP/1.1, 200, 0.014008
127.0.0.1, 2017-02-26 18:40:48, GET, /favicon.ico, HTTP/1.1, 400, 0.000220
127.0.0.1, 2017-02-26 18:44:20, GET, /auth/default/index, HTTP/1.1, 200, 0.049574
127.0.0.1, 2017-02-26 18:44:27, GET, /auth/default/create_post, HTTP/1.1, 200, 0.017414
127.0.0.1, 2017-02-26 18:44:27, GET, /favicon.ico, HTTP/1.1, 400, 0.000287
127.0.0.1, 2017-02-26 18:44:42, GET, /auth/default/create_post, HTTP/1.1, 200, 0.010525
127.0.0.1, 2017-02-26 18:44:42, GET, /favicon.ico, HTTP/1.1, 400, 0.000198
127.0.0.1, 2017-02-26 18:44:52, GET, /auth/default/create_post, HTTP/1.1, 500, 0.048724
